TICK    0 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK    1 - RM1<-#1; PC++ | SP=268/0x10C
TICK    2 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK    3 - SP=SP-4 | SP=264/0x108
TICK    4 - RF1=SP | SP=264/0x108
TICK    5 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK    6 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK    7 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK    8 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK    9 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK   10 - RM2<-#1; PC++ | SP=264/0x108
TICK   11 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK   12 - RF1<-SP | RF1=264/0x108
TICK   13 - RM1<-memD[108] | RM1=1/0x1
TICK   14 - RM1<-memD[109] | RM1=1/0x1
TICK   15 - RM1<-memD[10A] | RM1=1/0x1
TICK   16 - RM1<-memD[10B] | RM1=   1/0x1
TICK   17 - SP=SP+4 | SP=264/0x108
TICK   18 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK   19 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK   20 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK   21 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK   22 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK   23 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK   24 - PC<-memI[0x2]| PC=2/0x2
TICK   25 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK   26 - RM1<-#1; PC++ | SP=268/0x10C
TICK   27 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK   28 - SP=SP-4 | SP=264/0x108
TICK   29 - RF1=SP | SP=264/0x108
TICK   30 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK   31 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK   32 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK   33 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK   34 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK   35 - RM2<-#1; PC++ | SP=264/0x108
TICK   36 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK   37 - RF1<-SP | RF1=264/0x108
TICK   38 - RM1<-memD[108] | RM1=1/0x1
TICK   39 - RM1<-memD[109] | RM1=1/0x1
TICK   40 - RM1<-memD[10A] | RM1=1/0x1
TICK   41 - RM1<-memD[10B] | RM1=   1/0x1
TICK   42 - SP=SP+4 | SP=264/0x108
TICK   43 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK   44 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK   45 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK   46 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK   47 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK   48 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK   49 - PC<-memI[0x2]| PC=2/0x2
TICK   50 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK   51 - RM1<-#1; PC++ | SP=268/0x10C
------------Entering Interruption 1, value=71/0x47------------
TICK   52 @ 0x62820000 -  IN Byte; PC++ | PC=15/0xF
TICK   53 - RInData <- port Char (71/0x47) | RInData=71/0x47
TICK   54 @ 0x04410000 -  MOV MvRegLowMem; PC++ | PC=16/0x10
TICK   55 - RF1 <- memI[0x10]; PC++ | RF1=5/0x5
TICK   56 - memD[0x5] <- RInData(byte) = 0x47
TICK   57 @ 0x04CA0000 -  MOV MvMemReg; PC++ | PC=18/0x12
TICK   58 - RF1<-memI[18], PC++ | RF1=8/0x8
TICK   59 - ROutAddr<-memD[8] | ROutAddr=4/0x4
TICK   60 - ROutAddr<-memD[9] | ROutAddr=4/0x4
TICK   61 - ROutAddr<-memD[A] | ROutAddr=4/0x4
TICK   62 - ROutAddr<-memD[B] | ROutAddr=   4/0x4
TICK   64 @ 0x0472A000 -  MOV MvRegIndToReg; PC++ | PC=20/0x14
TICK   65 - RF2<-ROutAddr | RF2=4/0x4
TICK   66 - RC<-memD[4] | RC=1/0x1
TICK   67 - RC<-memD[5] | RC=18177/0x4701
TICK   68 - RC<-memD[6] | RC=18177/0x4701
TICK   69 - RC<-memD[7] | RC= 18177/0x4701
TICK   70 - RC=18177/0x4701
TICK   71 @ 0x8D732000 -  AND ImmReg; PC++ | PC=21/0x15
TICK   72 - RT<-memI[0x15]; PC++ | RT=255/0xFF
TICK   73 - RC<-RC & FF | RC=1/0x1
TICK   74 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=23/0x17
TICK   75 - RF1<-memI[0x17]; PC++ | RF1=1/0x1
TICK   76 - ROutAddr<-ROutAddr+RF1 | ROutAddr=5/0x5 N=0,Z=0,V=0,C=0
TICK   77 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=25/0x19
TICK   78 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=1/0x1 zero=0/0x0
TICK   79 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=26/0x1A
TICK   80 - RF2<-memI[0x1A]; PC++ | RF2=35/0x23
TICK   81 - no jump | PC=27/0x1B; N=0,Z=0,V=0,C=0
TICK   82 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=28/0x1C
TICK   83 - ROutData <- memD[5] | ROutData=71/0x47
TICK   84 @ 0x6A820000 -  OUT Byte; PC++ | PC=29/0x1D
TICK   85 - port 1 <- ROutData(0x47) char | [71]
TICK   86 @ 0x46532000 -  SUB MathRIR; PC++ | PC=30/0x1E
TICK   87 - RF1<-memI[0x1E]; PC++ | RF1=1/0x1
TICK   88 - RC<-RC-RF1 | RC=1/0x1
TICK   88 - RC<-RC-RF1 | RC=0/0x0 N=0,Z=1,V=0,C=1
TICK   89 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=32/0x20
TICK   90 - RF1<-memI[0x20]; PC++ | RF1=1/0x1
TICK   91 - ROutAddr<-ROutAddr+RF1 | ROutAddr=6/0x6 N=0,Z=0,V=0,C=0
TICK   92 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=34/0x22
TICK   93 - PC<-memI[0x18]| PC=24/0x18
