TICK    0 @ 0x77E00000 -  IntOff NoOperands; PC++ | PC=3/0x3
TICK    1 - interruptions on | false
TICK    2 @ 0x042A0000 -  MOV MvImmReg; PC++ | PC=4/0x4
TICK    3 - ROutAddr<-#5; PC++ | SP=320/0x140
TICK    4 @ 0x04320000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK    5 - RC<-#5; PC++ | SP=320/0x140
TICK    6 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK    7 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=5/0x5 zero=0/0x0
TICK    8 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK    9 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   10 - no jump | PC=10/0xA; N=0,Z=0,V=0,C=0
TICK   11 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=11/0xB
TICK   12 - ROutData <- memD[5] | ROutData=119/0x77
TICK   13 @ 0x6A820000 -  OUT Byte; PC++ | PC=12/0xC
TICK   14 - port 1 <- ROutData(0x77) char | [119]
TICK   15 @ 0x46532000 -  SUB MathRIR; PC++ | PC=13/0xD
TICK   16 - RF1<-memI[0xD]; PC++ | RF1=1/0x1
TICK   17 - RC<-RC-RF1 | RC=5/0x5
TICK   17 - RC<-RC-RF1 | RC=4/0x4 N=0,Z=0,V=0,C=1
TICK   18 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=15/0xF
TICK   19 - RF1<-memI[0xF]; PC++ | RF1=1/0x1
TICK   20 - ROutAddr<-ROutAddr+RF1 | ROutAddr=6/0x6 N=0,Z=0,V=0,C=0
TICK   21 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=17/0x11
TICK   22 - PC<-memI[0x7]| PC=7/0x7
TICK   23 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK   24 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=4/0x4 zero=0/0x0
TICK   25 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK   26 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   27 - no jump | PC=10/0xA; N=0,Z=0,V=0,C=0
TICK   28 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=11/0xB
TICK   29 - ROutData <- memD[6] | ROutData=104/0x68
TICK   30 @ 0x6A820000 -  OUT Byte; PC++ | PC=12/0xC
TICK   31 - port 1 <- ROutData(0x68) char | [119 104]
TICK   32 @ 0x46532000 -  SUB MathRIR; PC++ | PC=13/0xD
TICK   33 - RF1<-memI[0xD]; PC++ | RF1=1/0x1
TICK   34 - RC<-RC-RF1 | RC=4/0x4
TICK   34 - RC<-RC-RF1 | RC=3/0x3 N=0,Z=0,V=0,C=1
TICK   35 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=15/0xF
TICK   36 - RF1<-memI[0xF]; PC++ | RF1=1/0x1
TICK   37 - ROutAddr<-ROutAddr+RF1 | ROutAddr=7/0x7 N=0,Z=0,V=0,C=0
TICK   38 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=17/0x11
TICK   39 - PC<-memI[0x7]| PC=7/0x7
TICK   40 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK   41 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=3/0x3 zero=0/0x0
TICK   42 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK   43 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   44 - no jump | PC=10/0xA; N=0,Z=0,V=0,C=0
TICK   45 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=11/0xB
TICK   46 - ROutData <- memD[7] | ROutData=111/0x6F
TICK   47 @ 0x6A820000 -  OUT Byte; PC++ | PC=12/0xC
TICK   48 - port 1 <- ROutData(0x6F) char | [119 104 111]
TICK   49 @ 0x46532000 -  SUB MathRIR; PC++ | PC=13/0xD
TICK   50 - RF1<-memI[0xD]; PC++ | RF1=1/0x1
TICK   51 - RC<-RC-RF1 | RC=3/0x3
TICK   51 - RC<-RC-RF1 | RC=2/0x2 N=0,Z=0,V=0,C=1
TICK   52 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=15/0xF
TICK   53 - RF1<-memI[0xF]; PC++ | RF1=1/0x1
TICK   54 - ROutAddr<-ROutAddr+RF1 | ROutAddr=8/0x8 N=0,Z=0,V=0,C=0
TICK   55 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=17/0x11
TICK   56 - PC<-memI[0x7]| PC=7/0x7
TICK   57 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK   58 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=2/0x2 zero=0/0x0
TICK   59 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK   60 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   61 - no jump | PC=10/0xA; N=0,Z=0,V=0,C=0
TICK   62 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=11/0xB
TICK   63 - ROutData <- memD[8] | ROutData=63/0x3F
TICK   64 @ 0x6A820000 -  OUT Byte; PC++ | PC=12/0xC
TICK   65 - port 1 <- ROutData(0x3F) char | [119 104 111 63]
TICK   66 @ 0x46532000 -  SUB MathRIR; PC++ | PC=13/0xD
TICK   67 - RF1<-memI[0xD]; PC++ | RF1=1/0x1
TICK   68 - RC<-RC-RF1 | RC=2/0x2
TICK   68 - RC<-RC-RF1 | RC=1/0x1 N=0,Z=0,V=0,C=1
TICK   69 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=15/0xF
TICK   70 - RF1<-memI[0xF]; PC++ | RF1=1/0x1
TICK   71 - ROutAddr<-ROutAddr+RF1 | ROutAddr=9/0x9 N=0,Z=0,V=0,C=0
TICK   72 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=17/0x11
TICK   73 - PC<-memI[0x7]| PC=7/0x7
TICK   74 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK   75 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=1/0x1 zero=0/0x0
TICK   76 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK   77 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   78 - no jump | PC=10/0xA; N=0,Z=0,V=0,C=0
TICK   79 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=11/0xB
TICK   80 - ROutData <- memD[9] | ROutData=32/0x20
TICK   81 @ 0x6A820000 -  OUT Byte; PC++ | PC=12/0xC
TICK   82 - port 1 <- ROutData(0x20) char | [119 104 111 63 32]
TICK   83 @ 0x46532000 -  SUB MathRIR; PC++ | PC=13/0xD
TICK   84 - RF1<-memI[0xD]; PC++ | RF1=1/0x1
TICK   85 - RC<-RC-RF1 | RC=1/0x1
TICK   85 - RC<-RC-RF1 | RC=0/0x0 N=0,Z=1,V=0,C=1
TICK   86 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=15/0xF
TICK   87 - RF1<-memI[0xF]; PC++ | RF1=1/0x1
TICK   88 - ROutAddr<-ROutAddr+RF1 | ROutAddr=10/0xA N=0,Z=0,V=0,C=0
TICK   89 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=17/0x11
TICK   90 - PC<-memI[0x7]| PC=7/0x7
TICK   91 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=8/0x8
TICK   92 - CMP RC, zero | N=0,Z=1,V=0,C=0; RC=0/0x0 zero=0/0x0
TICK   93 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=9/0x9
TICK   94 - RF2<-memI[0x9]; PC++ | RF2=18/0x12
TICK   95 - PC<-RF2 | PC=18/0x12
TICK   96 @ 0x73E00000 -  IntOn NoOperands; PC++ | PC=19/0x13
TICK   97 - interruptions on | true
TICK   98 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=20/0x14
TICK   99 - RF1<-memI[20], PC++ | RF1=12/0xC
TICK  100 - RM1<-memD[C] | RM1=1/0x1
TICK  101 - RM1<-memD[D] | RM1=1/0x1
TICK  102 - RM1<-memD[E] | RM1=1/0x1
TICK  103 - RM1<-memD[F] | RM1=   1/0x1
------------Entering Interruption 1, value=71/0x47------------
TICK  105 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=32/0x20
TICK  106 - RF1<-memI[32], PC++ | RF1=16/0x10
TICK  107 - RM1<-memD[10] | RM1=0/0x0
TICK  108 - RM1<-memD[11] | RM1=0/0x0
TICK  109 - RM1<-memD[12] | RM1=0/0x0
TICK  110 - RM1<-memD[13] | RM1=   0/0x0
TICK  112 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=34/0x22
TICK  113 - SP=SP-4 | SP=316/0x13C
TICK  114 - RF1=SP | SP=316/0x13C
TICK  115 - memD[0x13C]<-RM1 | memD[0x13C]=0x0
TICK  116 - memD[0x13D]<-RM1 | memD[0x13D]=0x0
TICK  117 - memD[0x13E]<-RM1 | memD[0x13E]=0x0
TICK  118 - memD[0x13F]<-RM1 | memD[0x13F]=0x0
TICK  119 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=35/0x23
TICK  120 - RM2<-#0; PC++ | SP=316/0x13C
TICK  121 @ 0x0F820000 -  POP SingleReg; PC++ | PC=37/0x25
TICK  122 - RF1<-SP | RF1=316/0x13C
TICK  123 - RM1<-memD[13C] | RM1=0/0x0
TICK  124 - RM1<-memD[13D] | RM1=0/0x0
TICK  125 - RM1<-memD[13E] | RM1=0/0x0
TICK  126 - RM1<-memD[13F] | RM1=   0/0x0
TICK  127 - SP=SP+4 | SP=316/0x13C
TICK  128 @ 0x51C02400 -  CMP RegReg; PC++ | PC=38/0x26
TICK  129 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=0/0x0 RM2=0/0x0
TICK  130 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=39/0x27
TICK  131 - RF2<-memI[0x27]; PC++ | RF2=55/0x37
TICK  132 - JNE not taken | PC=40/0x28; N=0,Z=1,V=0,C=0
TICK  133 @ 0x042A0000 -  MOV MvImmReg; PC++ | PC=41/0x29
TICK  134 - ROutAddr<-#49; PC++ | SP=320/0x140
TICK  135 @ 0x04320000 -  MOV MvImmReg; PC++ | PC=43/0x2B
TICK  136 - RC<-#6; PC++ | SP=320/0x140
TICK  137 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=45/0x2D
TICK  138 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=6/0x6 zero=0/0x0
TICK  139 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=46/0x2E
TICK  140 - RF2<-memI[0x2E]; PC++ | RF2=55/0x37
TICK  141 - no jump | PC=47/0x2F; N=0,Z=0,V=0,C=0
TICK  142 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=48/0x30
TICK  143 - ROutData <- memD[31] | ROutData=104/0x68
TICK  144 @ 0x6A820000 -  OUT Byte; PC++ | PC=49/0x31
TICK  145 - port 1 <- ROutData(0x68) char | [119 104 111 63 32 104]
TICK  146 @ 0x46532000 -  SUB MathRIR; PC++ | PC=50/0x32
TICK  147 - RF1<-memI[0x32]; PC++ | RF1=1/0x1
TICK  148 - RC<-RC-RF1 | RC=6/0x6
TICK  148 - RC<-RC-RF1 | RC=5/0x5 N=0,Z=0,V=0,C=1
TICK  149 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=52/0x34
TICK  150 - RF1<-memI[0x34]; PC++ | RF1=1/0x1
TICK  151 - ROutAddr<-ROutAddr+RF1 | ROutAddr=50/0x32 N=0,Z=0,V=0,C=0
TICK  152 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=54/0x36
TICK  153 - PC<-memI[0x2C]| PC=44/0x2C
TICK  154 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=45/0x2D
TICK  155 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=5/0x5 zero=0/0x0
TICK  156 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=46/0x2E
TICK  157 - RF2<-memI[0x2E]; PC++ | RF2=55/0x37
TICK  158 - no jump | PC=47/0x2F; N=0,Z=0,V=0,C=0
TICK  159 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=48/0x30
TICK  160 - ROutData <- memD[32] | ROutData=101/0x65
TICK  161 @ 0x6A820000 -  OUT Byte; PC++ | PC=49/0x31
TICK  162 - port 1 <- ROutData(0x65) char | [119 104 111 63 32 104 101]
TICK  163 @ 0x46532000 -  SUB MathRIR; PC++ | PC=50/0x32
TICK  164 - RF1<-memI[0x32]; PC++ | RF1=1/0x1
TICK  165 - RC<-RC-RF1 | RC=5/0x5
TICK  165 - RC<-RC-RF1 | RC=4/0x4 N=0,Z=0,V=0,C=1
TICK  166 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=52/0x34
TICK  167 - RF1<-memI[0x34]; PC++ | RF1=1/0x1
TICK  168 - ROutAddr<-ROutAddr+RF1 | ROutAddr=51/0x33 N=0,Z=0,V=0,C=0
TICK  169 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=54/0x36
TICK  170 - PC<-memI[0x2C]| PC=44/0x2C
TICK  171 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=45/0x2D
TICK  172 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=4/0x4 zero=0/0x0
TICK  173 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=46/0x2E
TICK  174 - RF2<-memI[0x2E]; PC++ | RF2=55/0x37
TICK  175 - no jump | PC=47/0x2F; N=0,Z=0,V=0,C=0
TICK  176 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=48/0x30
TICK  177 - ROutData <- memD[33] | ROutData=108/0x6C
TICK  178 @ 0x6A820000 -  OUT Byte; PC++ | PC=49/0x31
TICK  179 - port 1 <- ROutData(0x6C) char | [119 104 111 63 32 104 101 108]
TICK  180 @ 0x46532000 -  SUB MathRIR; PC++ | PC=50/0x32
TICK  181 - RF1<-memI[0x32]; PC++ | RF1=1/0x1
TICK  182 - RC<-RC-RF1 | RC=4/0x4
TICK  182 - RC<-RC-RF1 | RC=3/0x3 N=0,Z=0,V=0,C=1
TICK  183 @ 0x424AA000 -  ADD MathRIR; PC++ | PC=52/0x34
TICK  184 - RF1<-memI[0x34]; PC++ | RF1=1/0x1
TICK  185 - ROutAddr<-ROutAddr+RF1 | ROutAddr=52/0x34 N=0,Z=0,V=0,C=0
TICK  186 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=54/0x36
TICK  187 - PC<-memI[0x2C]| PC=44/0x2C
TICK  188 @ 0x51C13A00 -  CMP RegReg; PC++ | PC=45/0x2D
TICK  189 - CMP RC, zero | N=0,Z=0,V=0,C=0; RC=3/0x3 zero=0/0x0
TICK  190 @ 0xC3000000 -  JE JAbsAddr; PC++ | PC=46/0x2E
TICK  191 - RF2<-memI[0x2E]; PC++ | RF2=55/0x37
TICK  192 - no jump | PC=47/0x2F; N=0,Z=0,V=0,C=0
TICK  193 @ 0x05ECA000 -  MOV MvLowRegIndToReg; PC++ | PC=48/0x30
TICK  194 - ROutData <- memD[34] | ROutData=108/0x6C
TICK  195 @ 0x6A820000 -  OUT Byte; PC++ | PC=49/0x31
TICK  196 - port 1 <- ROutData(0x6C) char | [119 104 111 63 32 104 101 108 108]
TICK  197 @ 0x46532000 -  SUB MathRIR; PC++ | PC=50/0x32
TICK  198 - RF1<-memI[0x32]; PC++ | RF1=1/0x1
TICK  199 - RC<-RC-RF1 | RC=3/0x3
