TICK    0 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK    1 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK    2 - RM1<-memD[6C] | RM1=1/0x1
TICK    3 - RM1<-memD[6D] | RM1=1/0x1
TICK    4 - RM1<-memD[6E] | RM1=1/0x1
TICK    5 - RM1<-memD[6F] | RM1=   1/0x1
TICK    7 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK    8 - SP=SP-4 | SP=404/0x194
TICK    9 - RF1=SP | SP=404/0x194
TICK   10 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK   11 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK   12 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK   13 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK   14 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK   15 - RM2<-#1; PC++ | SP=404/0x194
TICK   16 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK   17 - RF1<-SP | RF1=404/0x194
TICK   18 - RM1<-memD[194] | RM1=1/0x1
TICK   19 - RM1<-memD[195] | RM1=1/0x1
TICK   20 - RM1<-memD[196] | RM1=1/0x1
TICK   21 - RM1<-memD[197] | RM1=   1/0x1
TICK   22 - SP=SP+4 | SP=404/0x194
TICK   23 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK   24 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK   25 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK   26 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK   27 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK   28 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK   29 - PC<-memI[0x2]| PC=2/0x2
TICK   30 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK   31 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK   32 - RM1<-memD[6C] | RM1=1/0x1
TICK   33 - RM1<-memD[6D] | RM1=1/0x1
TICK   34 - RM1<-memD[6E] | RM1=1/0x1
TICK   35 - RM1<-memD[6F] | RM1=   1/0x1
TICK   37 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK   38 - SP=SP-4 | SP=404/0x194
TICK   39 - RF1=SP | SP=404/0x194
TICK   40 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK   41 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK   42 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK   43 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK   44 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK   45 - RM2<-#1; PC++ | SP=404/0x194
TICK   46 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK   47 - RF1<-SP | RF1=404/0x194
TICK   48 - RM1<-memD[194] | RM1=1/0x1
TICK   49 - RM1<-memD[195] | RM1=1/0x1
TICK   50 - RM1<-memD[196] | RM1=1/0x1
TICK   51 - RM1<-memD[197] | RM1=   1/0x1
TICK   52 - SP=SP+4 | SP=404/0x194
TICK   53 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK   54 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK   55 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK   56 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK   57 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK   58 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK   59 - PC<-memI[0x2]| PC=2/0x2
TICK   60 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=3/0x3
TICK   61 - RF1<-memI[3], PC++ | RF1=108/0x6C
TICK   62 - RM1<-memD[6C] | RM1=1/0x1
TICK   63 - RM1<-memD[6D] | RM1=1/0x1
TICK   64 - RM1<-memD[6E] | RM1=1/0x1
TICK   65 - RM1<-memD[6F] | RM1=   1/0x1
TICK   67 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK   68 - SP=SP-4 | SP=404/0x194
TICK   69 - RF1=SP | SP=404/0x194
TICK   70 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK   71 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK   72 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK   73 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK   74 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK   75 - RM2<-#1; PC++ | SP=404/0x194
TICK   76 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK   77 - RF1<-SP | RF1=404/0x194
TICK   78 - RM1<-memD[194] | RM1=1/0x1
TICK   79 - RM1<-memD[195] | RM1=1/0x1
TICK   80 - RM1<-memD[196] | RM1=1/0x1
TICK   81 - RM1<-memD[197] | RM1=   1/0x1
TICK   82 - SP=SP+4 | SP=404/0x194
------------Entering Interruption 0, value=4/0x4------------
TICK   83 @ 0x62A00000 -  IN Digit; PC++ | PC=177/0xB1
TICK   84 - RInData <- 0 digit (4/0x4) | RInData=4/0x4
TICK   85 @ 0x04E10000 -  MOV MvRegMem; PC++ | PC=178/0xB2
TICK   86 - RF1<-memI[0xB2]; PC++ 
TICK   87 - memD[0x94]<-RInData | memD[0x94]=0x4
TICK   88 - memD[0x95]<-RInData | memD[0x95]=0x0
TICK   89 - memD[0x96]<-RInData | memD[0x96]=0x0
TICK   90 - memD[0x97]<-RInData | memD[0x97]=0x0
TICK   91 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=180/0xB4
TICK   92 - RF1<-memI[180], PC++ | RF1=112/0x70
TICK   93 - RM1<-memD[70] | RM1=0/0x0
TICK   94 - RM1<-memD[71] | RM1=0/0x0
TICK   95 - RM1<-memD[72] | RM1=0/0x0
TICK   96 - RM1<-memD[73] | RM1=   0/0x0
TICK   98 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=182/0xB6
TICK   99 - SP=SP-4 | SP=404/0x194
TICK  100 - RF1=SP | SP=404/0x194
TICK  101 - memD[0x194]<-RM1 | memD[0x194]=0x0
TICK  102 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  103 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  104 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  105 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=183/0xB7
TICK  106 - RM2<-#0; PC++ | SP=404/0x194
TICK  107 @ 0x0F820000 -  POP SingleReg; PC++ | PC=185/0xB9
TICK  108 - RF1<-SP | RF1=404/0x194
TICK  109 - RM1<-memD[194] | RM1=0/0x0
TICK  110 - RM1<-memD[195] | RM1=0/0x0
TICK  111 - RM1<-memD[196] | RM1=0/0x0
TICK  112 - RM1<-memD[197] | RM1=   0/0x0
TICK  113 - SP=SP+4 | SP=404/0x194
TICK  114 @ 0x51C02400 -  CMP RegReg; PC++ | PC=186/0xBA
TICK  115 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=0/0x0 RM2=0/0x0
TICK  116 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=187/0xBB
TICK  117 - RF2<-memI[0xBB]; PC++ | RF2=198/0xC6
TICK  118 - JNE not taken | PC=188/0xBC; N=0,Z=1,V=0,C=0
TICK  119 @ 0x04C00000 -  MOV MvMemReg; PC++ | PC=189/0xBD
TICK  120 - RF1<-memI[189], PC++ | RF1=148/0x94
TICK  121 - RA<-memD[94] | RA=4/0x4
TICK  122 - RA<-memD[95] | RA=4/0x4
TICK  123 - RA<-memD[96] | RA=4/0x4
TICK  124 - RA<-memD[97] | RA=   4/0x4
TICK  126 @ 0x04E00000 -  MOV MvRegMem; PC++ | PC=191/0xBF
TICK  127 - RF1<-memI[0xBF]; PC++ 
TICK  128 - memD[0x74]<-RA | memD[0x74]=0x4
TICK  129 - memD[0x75]<-RA | memD[0x75]=0x0
TICK  130 - memD[0x76]<-RA | memD[0x76]=0x0
TICK  131 - memD[0x77]<-RA | memD[0x77]=0x0
TICK  132 @ 0x04200000 -  MOV MvImmReg; PC++ | PC=193/0xC1
TICK  133 - RA<-#1; PC++ | SP=408/0x198
TICK  134 @ 0x04E00000 -  MOV MvRegMem; PC++ | PC=195/0xC3
TICK  135 - RF1<-memI[0xC3]; PC++ 
TICK  136 - memD[0x70]<-RA | memD[0x70]=0x1
TICK  137 - memD[0x71]<-RA | memD[0x71]=0x0
TICK  138 - memD[0x72]<-RA | memD[0x72]=0x0
TICK  139 - memD[0x73]<-RA | memD[0x73]=0x0
TICK  140 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=197/0xC5
TICK  141 - PC<-memI[0xEF]| PC=239/0xEF
TICK  142 @ 0x93E00000 -  IRet NoOperands; PC++ | PC=240/0xF0
TICK  143 - restore register values | PC=8/0x8
------------Exiting interruption------------
TICK  144 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  145 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  146 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  147 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  148 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  149 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  150 - PC<-memI[0x2]| PC=2/0x2
------------Entering Interruption 0, value=2/0x2------------
TICK  151 @ 0x62A00000 -  IN Digit; PC++ | PC=177/0xB1
TICK  152 - RInData <- 0 digit (2/0x2) | RInData=2/0x2
TICK  153 @ 0x04E10000 -  MOV MvRegMem; PC++ | PC=178/0xB2
TICK  154 - RF1<-memI[0xB2]; PC++ 
TICK  155 - memD[0x94]<-RInData | memD[0x94]=0x2
TICK  156 - memD[0x95]<-RInData | memD[0x95]=0x0
TICK  157 - memD[0x96]<-RInData | memD[0x96]=0x0
TICK  158 - memD[0x97]<-RInData | memD[0x97]=0x0
TICK  159 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=180/0xB4
TICK  160 - RF1<-memI[180], PC++ | RF1=112/0x70
TICK  161 - RM1<-memD[70] | RM1=1/0x1
TICK  162 - RM1<-memD[71] | RM1=1/0x1
TICK  163 - RM1<-memD[72] | RM1=1/0x1
TICK  164 - RM1<-memD[73] | RM1=   1/0x1
TICK  166 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=182/0xB6
TICK  167 - SP=SP-4 | SP=404/0x194
TICK  168 - RF1=SP | SP=404/0x194
TICK  169 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  170 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  171 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  172 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  173 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=183/0xB7
TICK  174 - RM2<-#0; PC++ | SP=404/0x194
TICK  175 @ 0x0F820000 -  POP SingleReg; PC++ | PC=185/0xB9
TICK  176 - RF1<-SP | RF1=404/0x194
TICK  177 - RM1<-memD[194] | RM1=1/0x1
TICK  178 - RM1<-memD[195] | RM1=1/0x1
TICK  179 - RM1<-memD[196] | RM1=1/0x1
TICK  180 - RM1<-memD[197] | RM1=   1/0x1
TICK  181 - SP=SP+4 | SP=404/0x194
TICK  182 @ 0x51C02400 -  CMP RegReg; PC++ | PC=186/0xBA
TICK  183 - CMP RM1, RM2 | N=0,Z=0,V=0,C=0; RM1=1/0x1 RM2=0/0x0
TICK  184 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=187/0xBB
TICK  185 - RF2<-memI[0xBB]; PC++ | RF2=198/0xC6
TICK  186 - JNE taken; PC<-RF2 | PC=198/0xC6
TICK  187 @ 0x04C00000 -  MOV MvMemReg; PC++ | PC=199/0xC7
TICK  188 - RF1<-memI[199], PC++ | RF1=148/0x94
TICK  189 - RA<-memD[94] | RA=2/0x2
TICK  190 - RA<-memD[95] | RA=2/0x2
TICK  191 - RA<-memD[96] | RA=2/0x2
TICK  192 - RA<-memD[97] | RA=   2/0x2
TICK  194 @ 0x04C00000 -  MOV MvMemReg; PC++ | PC=201/0xC9
TICK  195 - RF1<-memI[201], PC++ | RF1=148/0x94
TICK  196 - RA<-memD[94] | RA=2/0x2
TICK  197 - RA<-memD[95] | RA=2/0x2
TICK  198 - RA<-memD[96] | RA=2/0x2
TICK  199 - RA<-memD[97] | RA=   2/0x2
TICK  201 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=203/0xCB
TICK  202 - RF1<-memI[203], PC++ | RF1=104/0x68
TICK  203 - RM1<-memD[68] | RM1=4/0x4
TICK  204 - RM1<-memD[69] | RM1=4/0x4
TICK  205 - RM1<-memD[6A] | RM1=4/0x4
TICK  206 - RM1<-memD[6B] | RM1=   4/0x4
TICK  208 @ 0x04C40000 -  MOV MvMemReg; PC++ | PC=205/0xCD
TICK  209 - RF1<-memI[205], PC++ | RF1=120/0x78
TICK  210 - RM2<-memD[78] | RM2=0/0x0
TICK  211 - RM2<-memD[79] | RM2=0/0x0
TICK  212 - RM2<-memD[7A] | RM2=0/0x0
TICK  213 - RM2<-memD[7B] | RM2=   0/0x0
TICK  215 @ 0x42062400 -  ADD MathRRR; PC++ | PC=207/0xCF
TICK  216 - RAddr<-RM1+RM2 | RAddr=4/0x4 N=0,Z=0,V=0,C=0
TICK  216 - RAddr<-RM1 + RM2 | RAddr=4/0x4
TICK  217 @ 0x04A60000 -  MOV MvLowRegToRegInd; PC++ | PC=208/0xD0
TICK  218 - memD[0x4] <- RA(byte); mem[RAddr]<-RA(byte) = 0x02
TICK  219 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=209/0xD1
TICK  220 - RF1<-memI[209], PC++ | RF1=120/0x78
TICK  221 - RM1<-memD[78] | RM1=0/0x0
TICK  222 - RM1<-memD[79] | RM1=0/0x0
TICK  223 - RM1<-memD[7A] | RM1=0/0x0
TICK  224 - RM1<-memD[7B] | RM1=   0/0x0
TICK  226 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=211/0xD3
TICK  227 - SP=SP-4 | SP=404/0x194
TICK  228 - RF1=SP | SP=404/0x194
TICK  229 - memD[0x194]<-RM1 | memD[0x194]=0x0
TICK  230 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  231 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  232 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  233 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=212/0xD4
TICK  234 - RM2<-#1; PC++ | SP=404/0x194
TICK  235 @ 0x0F820000 -  POP SingleReg; PC++ | PC=214/0xD6
TICK  236 - RF1<-SP | RF1=404/0x194
TICK  237 - RM1<-memD[194] | RM1=0/0x0
TICK  238 - RM1<-memD[195] | RM1=0/0x0
TICK  239 - RM1<-memD[196] | RM1=0/0x0
TICK  240 - RM1<-memD[197] | RM1=   0/0x0
TICK  241 - SP=SP+4 | SP=404/0x194
TICK  242 @ 0x42002400 -  ADD MathRRR; PC++ | PC=215/0xD7
TICK  243 - RA<-RM1+RM2 | RA=1/0x1 N=0,Z=0,V=0,C=0
TICK  243 - RA<-RM1 + RM2 | RA=1/0x1
TICK  244 @ 0x04E00000 -  MOV MvRegMem; PC++ | PC=216/0xD8
TICK  245 - RF1<-memI[0xD8]; PC++ 
TICK  246 - memD[0x78]<-RA | memD[0x78]=0x1
TICK  247 - memD[0x79]<-RA | memD[0x79]=0x0
TICK  248 - memD[0x7A]<-RA | memD[0x7A]=0x0
TICK  249 - memD[0x7B]<-RA | memD[0x7B]=0x0
TICK  250 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=218/0xDA
TICK  251 - RF1<-memI[218], PC++ | RF1=116/0x74
